Student ID,Gender,Age,School,math_score,reading_score,writing_score,class_performance
1,Male,17,B,76,86,80,B
2,Male,19,B,43,66,38,F
3,Male,17,E,88,94,95,A
4,Female,17,A,,66,85,D
5,Male,17,B,38,69,64,F
6,Male,21,D,59,69,,D
7,Female,17,E,77,39,25,F
8,Female,20,A,76,66,68,C
9,Male,18,E,73,97,64,C
10,Male,17,B,90,85,35,C
11,Female,17,A,72,27,49,F
12,Female,20,E,,26,59,F
13,Male,18,A,44,31,38,F
14,Male,18,B,87,38,57,D
15,Female,17,C,87,91,85,B
16,Male,20,B,49,83,37,F
17,Male,17,E,62,25,25,F
18,Male,17,D,27,66,27,F
19,Male,20,D,85,49,,D
20,Female,20,D,36,,98,F
21,Female,17,A,42,55,57,F
22,Female,18,A,32,,32,F
23,Male,19,A,36,62,59,F
24,Female,18,B,46,68,57,F
25,Male,19,A,83,53,,C
26,Female,19,C,38,35,95,F
27,Female,19,A,74,51,94,C
28,Male,18,B,91,61,73,C
29,Male,19,B,73,,88,C
30,Female,20,D,33,94,30,F
31,Male,18,B,43,67,88,D
32,Female,19,B,94,27,78,D
33,Female,17,B,,72,66,D
34,Male,18,A,39,98,49,D
35,Female,17,D,87,55,40,D
36,Female,17,E,52,36,65,F
37,Male,18,E,35,62,50,F
38,Female,18,C,49,74,48,F
39,Male,19,C,31,82,32,F
40,Female,21,E,79,94,94,B
41,Female,21,E,51,52,28,F
42,Female,18,D,39,34,90,F
43,Female,18,A,72,69,63,D
44,Male,18,E,39,85,98,C
45,Male,21,C,29,61,72,F
46,Female,18,D,76,67,48,D
47,Female,19,A,33,88,45,F
48,Female,20,E,34,43,90,F
49,Male,18,C,75,47,32,F
50,Female,20,C,28,25,36,F
51,Male,20,B,66,58,28,F
52,Female,17,B,56,,85,C
53,Female,20,E,100,78,36,C
54,Female,19,C,47,67,,D
55,Male,17,E,40,52,36,F
56,Male,21,C,79,27,93,D
57,Female,19,E,49,99,88,C
58,Female,20,D,43,65,99,D
59,Male,19,C,65,42,87,D
60,Male,19,D,43,98,58,D
61,Male,21,D,67,99,78,B
62,Male,18,C,33,87,81,D
63,Female,17,E,44,80,41,F
64,Male,17,C,62,96,65,C
65,Female,19,D,44,79,62,D
66,Male,20,C,28,98,85,C
67,Female,19,D,48,55,38,F
68,Female,17,A,75,46,,D
69,Male,20,E,63,76,43,D
70,Male,17,C,55,45,88,D
71,Male,19,E,33,59,39,F
72,Male,18,A,40,53,96,D
73,Female,20,A,75,91,42,D
74,Male,18,B,52,41,72,F
75,Male,20,B,97,38,50,D
76,Female,18,C,66,30,89,D
77,Male,19,B,85,75,34,D
78,Female,17,D,98,67,46,C
79,Female,18,A,30,90,39,F
80,Female,17,A,,94,69,D
81,Female,21,A,27,43,65,F
82,Female,21,A,55,25,41,F
83,Male,17,B,99,65,100,B
84,Male,21,B,91,96,68,B
85,Male,17,D,30,44,83,F
86,Male,20,B,76,26,89,D
87,Female,20,A,74,46,95,C
88,Female,17,D,71,41,36,F
89,Female,19,E,39,75,45,F
90,Male,21,C,84,,75,B
91,Female,19,B,37,34,35,F
92,Female,21,A,49,47,29,F
93,Female,21,C,56,71,39,F
94,Male,20,D,70,96,75,B
95,Male,20,D,31,43,50,F
96,Female,18,A,67,89,53,D
97,Female,18,C,,75,95,C
98,Male,21,A,43,55,47,F
99,Male,20,B,,91,94,B
100,Male,21,B,76,63,86,C
101,Female,21,E,39,42,,F
102,Male,19,B,71,56,51,F
103,Female,20,D,27,31,87,F
104,Male,19,C,83,89,26,D
105,Male,17,A,55,94,45,D
106,Female,20,B,92,46,37,F
107,Male,18,C,52,55,52,F
108,Female,19,B,39,99,48,D
109,Female,19,B,91,91,58,B
110,Male,20,C,62,40,90,D
111,Male,17,A,30,65,78,F
112,Male,18,E,45,54,98,D
113,Male,19,C,28,60,25,F
114,Female,20,C,84,44,43,F
115,Male,20,B,31,48,97,F
116,Male,20,A,55,45,26,F
117,Female,21,D,48,,67,D
118,Male,18,C,69,68,38,F
119,Female,21,D,78,56,50,D
120,Male,19,B,79,49,99,C
121,Male,19,D,33,72,86,D
122,Male,21,A,90,87,49,C
123,Male,18,B,74,90,97,B
124,Female,17,D,76,48,61,D
125,Female,18,A,75,100,39,C
126,Female,20,C,42,98,79,C
127,Male,20,D,100,54,83,C
128,Male,20,B,72,84,97,B
129,Female,19,E,39,97,37,F
130,Male,21,E,49,74,39,F
131,Female,20,B,62,34,37,F
132,Female,21,A,60,,85,C
133,Male,21,D,31,53,100,D
134,Female,20,B,41,33,91,F
135,Female,17,B,50,48,55,F
136,Female,20,E,67,77,63,D
137,Male,18,A,93,27,63,D
138,Male,21,D,58,49,57,F
139,Male,17,D,63,45,75,D
140,Male,17,E,,53,44,F
141,Male,19,E,50,40,52,F
142,Female,21,D,,27,99,F
143,Female,21,C,87,35,97,C
144,Male,17,D,88,13,35,F
145,Male,18,E,,72,57,D
146,Female,19,D,56,31,60,F
147,Male,19,C,43,80,58,D
148,Female,21,C,59,36,86,D
149,Male,20,B,30,42,80,F
150,Male,18,C,50,38,86,F
151,Male,19,A,34,47,63,F
152,Female,20,A,74,31,94,D
153,Female,19,D,82,91,97,A
154,Female,18,B,77,53,88,C
155,Male,17,B,100,28,64,D
156,Female,18,C,49,94,82,C
157,Female,18,C,63,65,25,F
158,Male,21,D,100,70,40,C
159,Female,18,B,76,87,53,C
160,Male,21,A,63,64,87,C
161,Male,21,C,46,92,43,D
162,Female,21,D,90,55,83,C
163,Female,21,C,64,,48,D
164,Female,19,E,91,74,98,B
165,Male,18,E,35,35,32,F
166,Male,19,C,34,53,60,F
167,Female,20,C,100,47,86,C
168,Female,19,B,80,,58,D
